SPOT	Gene Symbol	15m	30m	60m	90m	120m
1333	YDR346C	2.20645	2.97975	2.95365	-1.24535	-0.71645
1342	YDR355C	-0.9135	-0.289375	-0.798533333	-2.545125	-2.43405
1345	YDR358W	-0.369275	-0.547625	-0.85925	1.13355	1.16495
1348	YDR361C	1.97715	2.18635	2.3055	-1.733225	-1.037275
1351	YDR364C	0.8131	0.915325	0.913775	-0.41785	-0.700425
1352	YDR365C	1.327125	2.50065	1.8338	-1.822475	-1.142675
1354	YDR367W	-0.72965	-0.9758	-1.302625	0.04245	0.07955
1355	YDR368W	-1.485325	-1.74715	-1.906275	1.272425	0.792775
1357	YDR370C	1.704125	1.794575	1.861075	-0.199125	-0.419825
1358	YDR371W	1.0219	1.229925	0.756025	0.57885	0.202375
1366	YDR379W	-0.397675	-0.66365	-0.615725	0.39885	0.325075
1367	YDR380W	-0.8713	-1.1577	-1.040675	-0.276475	-0.16205
1375	YDR388W	-0.706525	-1.357125	-1.1611	0.93145	0.313325
1378	YDR391C	-0.335825	0.218025	-0.153575	2.603925	1.985525
1381	YDR394W	0.867125	1.029075	1.182775	0.10215	-1.197925
1383	YDR396W	0.253875	-0.497525	-1.035375	-0.856775	0.0963
1385	YDR398W	2.642075	2.881975	1.4465	-0.15465	-1.049725
1386	YDR399W	2.1201	1.8982	1.256575	-0.6937	0.49475
1392	YDR405W	2.06485	1.57635	0.9654	-0.126775	0.04055
1399	YDR412W	1.763725	1.195375	2.763975	-1.498375	-0.61555
1400	YDR413C	2.07755	2.02585	2.338375	-1.530975	-0.731075
1404	YDR417C	-0.997325	-1.247225	-1.19585	-0.6911	-0.056
1410	YDR423C	-1.183575	-1.3036	-1.217	0.711225	0.37095
1416	YDR429C	0.897625	1.29885	1.042675	-0.5549	-0.9957
1429	YDR442W	-0.5977	-0.443825	-1.294025	0.421025	0.295275
1436	YDR449C	1.761725	2.391925	1.390325	-1.005475	-1.114325
1439	YDR452W	-0.5924	-0.462325	-0.6889	1.34755	1.536375
