SPOT	Gene Symbol	15m	30m	60m	90m	120m
3137	YJL144W	-2.468675	-2.191575	-1.2276	0.759633333	0.716566667
3138	YJL145W	0.156575	0.0735	0.1092	-1.9354	-2.939066667
3140	YJL147C	1.390825	1.221375	1.571375	-0.018033333	-0.881433333
3141	YJL148W	1.1395	1.528025	1.33725	-0.7173	-1.9165
3144	YJL151C	-0.655175	-1.409975	-1.00645	0.661666667	0.771733333
3145	YJL152W	-0.834275	-1.1512	-0.6127	1.159233333	0.553966667
3151	YJL158C	-0.669475	-0.7949	-0.175825	-0.430133333	0.7302
3153	YJL160C	0.943225	0.68275	0.732825	0.749333333	0.707666667
3154	YJL161W	-0.528475	-0.4077	-1.234125	2.223	3.248566667
3155	YJL162C	0.620425	1.209675	0.83325	0.229666667	-0.0367
3157	YJL164C	-1.094075	-1.3312	-2.3473	0.744366667	1.6763
3158	YJL165C	0.701025	0.999075	1.280875	0.394233333	0.288633333
3163	YJL170C	-0.1566	-0.689875	-0.208075	1.139866667	0.176733333
3166	YJL173C	-0.72965	-1.235375	-1.517425	-0.0477	-0.5411
3172	YJL179W	-0.1824	-0.7671	-0.67915	0.538166667	-0.159333333
3173	YJL180C	1.404125	1.28365	1.163875	0.0881	-0.306366667
3183	YJL190C	-1.2652	-1.295025	-1.495625	-0.230166667	-0.5163
3184	YJL191W	0.9126	0.89595	0.027875	1.219833333	-0.731066667
3186	YJL193W	1.54845	0.653275	0.23615	-0.1403	-0.393
3196	YJL203W	0.448925	0.715	0.960575	0.227	-0.0748
3201	YJL208C	1.267675	1.818025	1.610125	-0.198933333	-0.219
3203	YJL210W	0.0314	0.313575	0.171025	0.886166667	0.250933333
3205	YJL212C	0.428725	0.230425	0.0819	-0.433566667	-1.241666667
3210	YJL217W	-1.6064	-1.613975	-2.581075	-0.015066667	0.012
3212	YJL219W	1.465275	0.823625	0.3752	0.4539	0.5687
3219	YJR002W	1.817075	1.85045	2.2293	-0.1918	-0.452666667
3220	YJR003C	0.83995	1.2593	1.03435	-0.059533333	-1.4787
3228	YJR010W	0.193025	0.7354	1.04845	0.976366667	-1.3699
3229	YJR011C	-0.8855	-1.1492	-1.0168	0.095533333	0.0926
3231	YJR013W	-0.496625	-0.590375	-0.913675	-0.3103	0.0065
3233	YJR015W	0.5564	-0.068625	-1.122075	-0.6766	0.381133333
3252	YJR034W	-0.865275	-0.7378	-1.232075	-0.032133333	1.296566667
3257	YJR039W	-0.448175	-0.46565	-0.75925	0.338966667	0.509666667
3262	YJR044C	-0.89585	-1.26135	-1.103075	0.760433333	0.8278
3264	YJR046W	-0.39645	0.178075	0.60275	-0.784466667	-1.105433333
3266	YJR048W	-1.12575	-2.035075	-2.5294	-0.4967	2.220366667
3272	YJR054W	1.75925	1.42815	0.18735	0.124833333	0.117266667
3273	YJR055W	2.46975	2.4692	2.260025	-0.023466667	-0.979333333
3274	YJR056C	2.833625	2.2906	2.346575	-0.260366667	-0.983933333
3282	YJR064W	0.8891	0.698625	0.84265	-0.1787	-1.796666667
3291	YJR073C	-0.766925	-0.541225	1.805325	2.8271	3.622533333
3300	YJR083C	0.32815	-0.044075	-0.52915	-0.690466667	-0.227733333
3301	YJR084W	0.62635	1.1287	0.467725	0.311233333	-0.175333333
3303	YJR086W	-1.7029	-2.68985	-1.94145	0.112166667	2.756466667
3310	YJR093C	1.4294	1.747825	1.75875	0.5889	-0.909566667
3311	YJR094C	-0.310775	-0.56925	-1.170675	-0.7539	-1.077366667
3315	YJR097W	1.77065	1.9284	1.6078	-0.4604	-1.478466667
3316	YJR098C	1.2955	1.546575	1.1482	-0.0152	-0.285966667
3325	YJR107W	-1.320075	-1.417725	-0.89295	-0.075333333	0.439566667
3329	YJR111C	3.44355	3.660575	3.572675	0.576	-1.8874
3340	YJR122W	-1.1118	-1.299925	-1.877275	-0.589433333	0.631566667
3342	YJR124C	-0.602025	-0.31695	-0.26225	-1.238466667	-0.6708
3345	YJR127C	-0.677525	-0.595725	-0.55565	-0.181666667	0.8337
3347	YJR129C	-1.075825	-0.966375	-1.1109	-0.096066667	0.723766667
3348	YJR130C	0.527775	1.272125	1.56155	0.364933333	1.426733333
3352	YJR134C	0.178025	0.740175	0.268025	0.154733333	0.2679
3353	YJR135C	-1.008675	-1.315875	-1.18935	-0.022633333	0.476066667
3365	YJR147W	-1.706675	-1.447575	-1.684775	-1.840333333	-0.914333333
3385	YKL005C	0.97135	1.410133333	1.358375	-0.01025	-1.6995
3390	YKL009W	2.705275	2.7776	3.552625	-0.500833333	-1.426133333
3394	YKL013C	-0.5596	-0.800475	-0.559075	0.642766667	0.759266667
3399	YKL018W	0.7946	1.138275	0.5566	0.100533333	-1.3511
3402	YKL021C	1.037575	1.75375	1.4798	0.217966667	-0.8785
3405	YKL024C	0.7218	0.61835	1.579125	1.113266667	-0.078333333
3408	YKL027W	1.011125	1.40295	0.86365	0.0794	-2.031266667
3411	YKL030W	-1.158175	-1.564575	-1.1725	-2.5646	-0.955766667
3416	YKL035W	-1.351325	-1.464225	-2.68065	1.681566667	1.043
3421	YKL040C	0.196125	0.32565	0.367375	0.618366667	1.1571
3430	YKL049C	-1.025625	-0.5609	-0.1069	0.360966667	1.312766667
3432	YKL051W	1.00545	0.572625	1.443275	0.0474	0.155066667
3442	YKL061W	1.273925	1.519825	3.10255	1.5181	0.417133333
3443	YKL062W	2.173725	2.069675	1.221125	-0.132166667	0.4334
3444	YKL063C	-0.296975	-0.6905	-1.175075	-0.130733333	0.623266667
3445	YKL064W	0.39545	0.25705	0.5865	0.245666667	0.7708
3447	YKL066W	-0.855775	-1.109525	-0.867825	1.262466667	1.6916
3448	YKL067W	-0.638525	-0.977725	-1.200875	1.308733333	2.2256
