SPOT	Gene Symbol	15m	30m	60m	90m	120m
5322	YOR012W	-0.39385	-0.28785	-0.441575	-0.525	-0.80295
5330	YOR020C	-0.695866667	-1.47255	-1.690925	-1.332925	0.6237
5331	YOR021C	1.025475	1.965425	1.4151	-0.80315	-0.197425
5349	YOR039W	0.035975	-0.13825	-1.5082	-1.0872	-0.870475
5359	YOR049C	-0.362375	-0.9372	-1.062575	-0.83025	-0.975575
5362	YOR052C	1.466825	1.6861	0.249675	-0.3557	-0.482375
5364	YOR054C	-0.215275	-0.58445	-1.107225	-0.053425	-0.183675
5366	YOR056C	1.348075	1.898675	1.569925	-0.415275	-0.067425
5370	YOR060C	1.678225	1.954325	1.55865	-0.01145	-1.071925
5399	YOR090C	-0.2502	-1.018075	-0.332875	-0.655525	0.21715
5410	YOR101W	2.122275	2.44335	0.785775	-1.195875	-1.173733333
5413	YOR104W	0.406475	0.719775	1.05515	0.35315	0.0855
5414	YOR105W	0.6241	0.872075	0.66715	-0.002225	-0.46265
5416	YOR107W	1.303775	2.13275	2.122075	0.04355	0.36775
5421	YOR112W	0.006475	0.0074	0.04405	0.65895	0.312975
5428	YOR119C	0.7038	1.385075	1.083125	-0.356275	-0.913975
5429	YOR120W	0.643125	0.525275	0.30525	0.477025	-0.34105
5434	YOR125C	-0.2914	-0.482	-1.4732	-0.805475	-0.352275
5439	YOR130C	-1.4932	-0.776425	1.1231	0.685675	-0.209
5444	YOR135C	-1.141175	-2.0056	-2.512275	-0.86145	0.85865
5445	YOR136W	-2.101725	-3.243925	-3.12315	-1.291425	0.509175
5447	YOR138C	0.412325	0.13005	0.494225	0.2524	0.63615
5454	YOR145C	1.0078	1.507375	0.195225	-0.701775	-0.571575
5456	YOR147W	1.5601	1.188025	0.820625	0.44005	0.217925
5466	YOR157C	-0.8053	-0.7215	-1.784125	-1.011025	-0.319275
5482	YOR173W	-1.022675	-0.5236	-0.709525	-0.0309	-0.338675
5488	YOR179C	-1.292875	-0.843925	-0.87955	-1.38945	-0.686475
5495	YOR186W	-0.560225	-0.193225	-0.93055	-0.4778	-0.548675
5504	YOR195W	-0.2788	-0.1974	0.175825	0.5693	0.42685
5517	YOR208W	0.252825	1.2415	1.586625	0.204425	0.714133333
5522	YOR213C	0.33525	1.1884	0.72645	-0.594575	-1.000325
5524	YOR215C	0.530075	1.42605	0.9064	1.181025	0.252175
5532	YOR223W	-0.937825	-1.04595	-1.056025	-0.46975	-0.51545
5534	YOR225W	-3.4824	-3.153966667	-1.486225	-0.11275	0.481
5535	YOR226C	-1.309425	-2.87725	-1.44105	-1.47975	-0.56085
5539	YOR230W	-1.1469	-1.98195	-2.404075	-1.212275	-0.308725
5544	YOR235W	0.257675	0.9175	0.5133	-0.243125	-0.222475
5547	YOR238W	-0.106225	-0.199375	-0.625625	-0.50105	-0.640825
5561	YOR253W	-0.65565	-0.4151	-0.8287	-0.485525	-0.37495
