SPOT	Gene Symbol	15m	30m	60m	90m	120m
4879	YNL151C	0.872875	0.81038	0.8976	-0.907275	-0.69994
4883	YNL155W	-0.5885	0.04378	0.673725	-1.30546	-1.49524
4884	YNL156C	1.2524	1.03014	0.8251	0.71704	0.68956
4887	YNL159C	-0.980075	-0.97192	-1.821125	0.8099	0.4791
4888	YNL160W	-0.837425	-1.0623	-1.05805	3.12666	0.99562
4894	YNL166C	-0.5489	-1.06138	-1.03875	0.27984	-0.17392
4896	YNL168C	-1.43025	-1.942975	-2.710225	0.46812	0.4726
4897	YNL169C	0.12945	0.772725	1.1502	1.15086	-0.08006
4901	YNL173C	0.531775	0.63846	-0.342275	1.81908	1.40286
4902	YNL174W	1.166775	1.09096	1.08965	-2.201425	-1.34386
4903	YNL175C	1.31915	1.6699	1.6113	-2.11366	-1.16212
4905	YNL177C	1.26965	0.6625	0.87365	0.16346	-0.2399
4907	YNL179C	-1.0121	-0.3605	-0.915525	-1.07106	-0.27382
4908	YNL180C	-0.011475	0.06326	0.258625	1.9911	2.16574
4916	YNL188W	-0.172475	-0.80586	-1.118425	0.7539	-0.48144
4928	YNL200C	-0.187425	-0.5538	-1.8889	2.14544	1.30628
4929	YNL201C	1.348275	1.77738	1.1899	0.05774	-0.43438
4931	YNL203C	1.42735	1.2534	1.781575	-0.09242	-0.51192
4932	YNL204C	2.327025	2.44986	2.4345	-1.30786	-0.46024
4933	YNL205C	1.504125	2.304175	2.4822	-1.84704	-0.61098
4934	YNL206C	0.918675	-0.0606	0.15405	1.0116	-0.01484
4936	YNL208W	-0.395575	-0.65764	-0.9487	1.87235	3.17236
4939	YNL211C	1.63285	1.28326	1.645025	-1.342225	-0.688
4941	YNL213C	2.6269	1.1946	1.929275	-0.33736	0.183
4942	YNL214W	1.234975	0.65252	0.33475	-0.06042	-0.27216
4946	YNL218W	1.036625	0.72128	0.95325	0.81674	0.25018
4948	YNL220W	1.6491	1.48918	0.709525	-0.26166	1.4877
4949	YNL221C	1.174475	1.19502	0.9119	0.14328	0.6451
4953	YNL225C	0.534475	1.082475	0.58105	0.47122	-0.85046
4958	YNL230C	0.75885	0.6569	0.45665	-0.5874	-0.61814
4959	YNL231C	1.013725	0.3048	0.62435	0.730325	1.35786
4960	YNL232W	1.92135	1.42892	1.41025	0.03264	-0.1975
4962	YNL234W	3.337775	3.22122	3.268975	-0.7996	-0.69878
4967	YNL239W	-0.8345	-0.1891	-0.237525	1.49722	0.22514
4968	YNL240C	1.9186	2.2175	2.682325	-0.04116	0.14146
4971	YNL243W	-0.8319	-0.83334	-0.578	0.74335	0.67464
4976	YNL248C	0.822625	1.61752	1.321675	-0.87586	-1.47522
4984	YNL256W	1.006433333	1.356	2.0124	-0.1998	0.042933333
4985	YNL257C	-1.073075	-0.8155	-1.2915	0.6348	-0.0541
4986	YNL258C	-1.238425	-1.1618	-1.11325	-0.00624	0.48142
4992	YNL264C	-0.254975	-0.406825	-0.74435	0.461875	-0.20244
4994	YNL266W	1.014225	1.02688	1.4876	-0.3618	0.48746
4996	YNL268W	1.145475	1.4133	1.441925	-1.16322	-0.19038
5003	YNL275W	1.7722	1.63516	1.769525	-0.36722	-0.02866
5009	YNL281W	-0.764175	-1.4596	-1.834775	-0.57878	-0.90674
5012	YNL284C	0.63565	0.9093	0.4094	0.04946	0.59152
5018	YNL290W	-0.864966667	-0.315675	-0.244875	0.903825	0.24786
5022	YNL294C	0.546675	0.73444	0.464575	-0.07408	-0.22932
5028	YNL300W	-0.489425	-1.7074	-1.969975	2.56464	1.56818
5032	YNL304W	-1.38925	-1.52194	-1.616425	1.0334	-0.38094
5033	YNL305C	-1.3882	-1.3335	-2.2134	0.51426	0.45102
5036	YNL308C	0.979225	1.03676	1.1117	-1.10948	-0.79276
5038	YNL310C	-0.9635	-1.85254	-1.8586	0.69272	-0.147
5039	YNL311C	0.085825	0.660325	1.4263	-0.4995	0.04856
5040	YNL312W	-1.04825	-1.8064	-1.7714	1.3799	-0.59212
5050	YNL322C	-0.6372	-0.94756	-0.7217	0.05662	-0.12278
5062	YNL334C	-0.611425	-0.58472	-0.94045	0.97698	0.11428
5064	YNL336W	-1.307666667	-0.7949	-1.03885	0.812633333	-0.136
5081	YNR014W	2.09455	1.09312	-0.220975	-0.7193	0.11804
5082	YNR015W	2.01605	1.291925	1.2096	-0.68028	-0.68408
5085	YNR018W	1.9714	1.6065	0.8277	-0.1039	0.26266
5087	YNR020C	1.7335	1.61354	1.0975	-0.68564	0.023
5091	YNR024W	1.431425	0.77286	0.346375	-0.8308	-0.08294
5093	YNR026C	0.19095	1.09218	0.880025	-0.51	-1.0341
5094	YNR027W	0.861825	0.84132	0.94995	-0.1168	-0.37858
5095	YNR028W	1.65635	1.16988	1.20785	-0.56522	-0.1738
5096	YNR029C	1.688566667	1.7522	0.6962	1.044733333	-0.418733333
5106	YNR039C	1.68735	1.99798	1.1051	0.23824	-0.56774
5110	YNR043W	-1.665	-2.0494	-2.20185	0.198375	-0.40692
5111	YNR044W	1.19735	0.17806	-0.650975	1.56292	1.33622
5112	YNR045W	1.2233	0.64838	0.3426	0.645225	-0.28422
5115	YNR048W	0.688775	0.85398	1.239	-0.56078	-0.62966
5120	YNR053C	1.807425	1.3004	1.2603	-0.67578	-1.52214
5121	YNR054C	0.764325	1.33788	1.158125	-0.89694	-0.85122
5125	YNR058W	0.639075	0.55354	1.394275	0.02226	0.10766
5131	YNR064C	-1.6065	-1.77154	-0.8773	0.77314	0.25544
5134	YNR067C	-1.23265	-1.18522	-1.615575	0.52024	-0.87728
5138	YNR071C	1.726875	1.43038	1.66275	-0.49006	0.53448
5143	YNR076W	0.236425	1.68838	2.02585	-0.094175	0.23314
5145	YOL001W	1.75255	1.61278	1.709925	-0.04584	0.07834
5146	YOL002C	4.446	4.73804	4.6543	-4.00822	-3.17882
5147	YOL003C	-0.1497	-1.02416	-0.822625	0.11415	0.06398
5152	YOL008W	1.351625	1.00438	0.9017	-0.32898	-0.78038
5154	YOL010W	2.7823	1.96722	1.861825	-1.21966	-0.85858
5157	YOL013C	-0.474525	-0.0817	-0.008575	-0.71376	-0.88222
5165	YOL021C	0.686925	1.934	1.3236	-1.08565	0.022733333
5169	YOL025W	-0.10135	-0.5942	-0.8686	-0.37358	-0.4998
5170	YOL026C	-1.224575	-1.96895	-0.9323	0.51434	0.32734
5171	YOL027C	1.47435	1.55796	1.383675	-0.08112	-0.59028
5176	YOL032W	-2.8481	-2.76274	-2.7673	0.31926	0.19026
5185	YOL041C	2.177525	1.98272	1.4575	-1.10382	-0.76562
5188	YOL044W	0.99185	0.73948	1.01425	-0.33806	0.50964
5190	YOL046C	0.920375	1.5999	1.761775	0.27148	0.39002
5199	YOL054W	1.18695	0.52548	0.578625	0.12822	-0.39334
5203	YOL058W	0.39385	2.08942	3.66775	0.49898	-0.51708
5209	YOL064C	0.55035	0.9949	1.436775	-0.08905	0.41186
5220	YOL076W	-0.642066667	-0.914266667	-0.46395	-0.7112	-0.3992
5221	YOL077C	0.94215	0.22994	0.368125	-1.30638	-0.69012
5223	YOL079W	1.31895	1.54758	1.302725	-1.0954	-0.3748
5224	YOL080C	2.137275	1.8713	2.32445	-1.9139	-1.2498
5226	YOL082W	-0.5529	-0.5117	-1.30285	1.66218	1.7399
5227	YOL083W	-0.257175	-0.26244	-0.858075	0.85244	0.531
5230	YOL086C	-0.223675	-0.66222	-1.54635	1.30858	1.68098
5231	YOL087C	0.670466667	1.481	2.115466667	0.3177	0.209166667
5232	YOL088C	-0.817775	-1.08102	-1.887925	-0.1888	-0.38786
5235	YOL091W	0.5265	1.26274	2.225475	-0.97518	-0.61834
5236	YOL092W	0.48355	0.98388	0.557725	-0.526125	-0.63314
5245	YOL101C	5.5489	6.07992	5.14355	-5.67436	-6.40436
5248	YOL104C	-1.9669	-1.4743	-1.91025	-2.1148	-2.1444
5249	YOL105C	0.6449	0.49645	1.0906	-1.76014	-0.97202
5251	YOL107W	-0.961325	-1.162925	-1.866775	0.81346	0.4641
5253	YOL109W	-4.1315	-4.87402	-4.49225	0.03335	0.40332
5267	YOL123W	0.404975	1.78282	2.63695	-3.515775	0.50718
5268	YOL124C	2.742925	2.4538	1.810275	-1.45752	-1.0957
5270	YOL126C	-1.46705	-2.19662	-2.739225	-0.5395	1.03772
5274	YOL130W	0.755475	2.0336	1.383566667	-0.2324	-0.00905
5279	YOL135C	-1.071075	-1.22922	-1.490325	0.46576	0.42014
5284	YOL140W	-0.015475	-0.17874	0.2646	-0.69838	-1.33502
5286	YOL142W	1.978025	1.27008	2.053125	-1.24276	-0.053
5287	YOL143C	-0.5473	-1.21698	-0.836525	-1.00748	2.56724
5290	YOL146W	-0.974425	-1.9649	-1.889325	0.148325	0.16336
5296	YOL152W	-0.47905	-0.24184	-0.693366667	-1.43718	-0.0627
5298	YOL154W	2.2965	2.4244	2.6667	1.20738	-0.25748
5302	YOL158C	-1.0415	-0.67482	-1.00275	1.23432	1.05492
5303	YOL159C	-1.110475	-1.33718	-1.843325	0.22748	-0.74358
5305	YOL161C	0.589	1.40608	2.4709	-0.61696	-0.67076
5306	YOL162W	1.1954	1.06592	1.24395	0.16672	0.58742
5309	YOL165C	0.605775	0.51364	1.036675	0.49182	0.16686
5310	YOL166C	0.949525	1.42075	0.82445	-0.263175	-0.01912
5311	YOR001W	0.4254	0.58862	0.433675	-0.17312	-0.14692
5313	YOR003W	1.493125	1.94294	1.0331	-0.2085	0.8254
5314	YOR004W	2.23815	1.72238	2.536025	-1.62026	-0.65464
5319	YOR009W	1.28315	1.53188	2.2132	0.18464	-0.85535
5331	YOR021C	0.141175	0.99832	1.2587	-0.74332	-0.69546
5333	YOR023C	0.9944	0.90338	1.322975	-0.38928	-0.18524
5337	YOR027W	-1.283625	-1.57834	-1.9785	-0.36222	-1.11006
5349	YOR039W	-0.313525	-0.62426	-0.97105	0.398725	-0.71546
